cv_id,jd_id,expected_label,expected_score,group_gender,group_age,eval_source
CV_013,JD_001,APTO,55,F,23-35,sintetico_original
CV_029,JD_001,APTO,58,F,36-45,sintetico_original
CV_025,JD_001,APTO,50,F,23-35,sintetico_original
CV_011,JD_001,APTO,95,F,36-45,sintetico_original
CV_005,JD_001,APTO,85,F,36-45,sintetico_original
CV_019,JD_001,APTO,88,F,23-35,sintetico_original
CV_007,JD_001,APTO,86,F,23-35,sintetico_original
CV_009,JD_001,APTO,56,F,46-58,sintetico_original
CV_023,JD_001,APTO,82,F,36-45,sintetico_original
CV_001,JD_001,APTO,48,F,23-35,sintetico_original
CV_003,JD_001,APTO,85,F,46-58,sintetico_original
CV_021,JD_001,APTO,58,F,46-58,sintetico_original
CV_016,JD_001,APTO,60,M,23-35,sintetico_original
CV_010,JD_001,APTO,76,M,23-35,sintetico_original
CV_014,JD_001,APTO,56,M,36-45,sintetico_original
CV_012,JD_001,APTO,66,M,46-58,sintetico_original
CV_022,JD_001,APTO,70,M,23-35,sintetico_original
CV_028,JD_001,APTO,78,M,23-35,sintetico_original
CV_018,JD_001,APTO,70,M,46-58,sintetico_original
CV_024,JD_001,APTO,48,M,46-58,sintetico_original
CV_008,JD_001,APTO,82,M,36-45,sintetico_original
CV_004,JD_001,APTO,88,M,23-35,sintetico_original
CV_030,JD_001,APTO,80,M,46-58,sintetico_original
CV_002,JD_001,APTO,75,M,36-45,sintetico_original
CV_053,JD_001,NO_APTO,22,F,36-45,sintetico_original
CV_051,JD_001,NO_APTO,18,F,46-58,sintetico_original
CV_059,JD_001,NO_APTO,62,F,36-45,sintetico_original
CV_033,JD_001,NO_APTO,18,F,46-58,sintetico_original
CV_057,JD_001,NO_APTO,24,F,46-58,sintetico_original
CV_041,JD_001,NO_APTO,19,F,36-45,sintetico_original
CV_043,JD_001,NO_APTO,38,F,23-35,sintetico_original
CV_035,JD_001,NO_APTO,22,F,36-45,sintetico_original
CV_031,JD_001,NO_APTO,18,F,23-35,sintetico_original
CV_055,JD_001,NO_APTO,19,F,23-35,sintetico_original
CV_039,JD_001,NO_APTO,24,F,46-58,sintetico_original
CV_049,JD_001,NO_APTO,28,F,23-35,sintetico_original
CV_036,JD_001,NO_APTO,14,M,46-58,sintetico_original
CV_052,JD_001,NO_APTO,28,M,23-35,sintetico_original
CV_054,JD_001,NO_APTO,24,M,46-58,sintetico_original
CV_038,JD_001,NO_APTO,28,M,36-45,sintetico_original
CV_060,JD_001,NO_APTO,28,M,46-58,sintetico_original
CV_046,JD_001,NO_APTO,18,M,23-35,sintetico_original
CV_032,JD_001,NO_APTO,28,M,36-45,sintetico_original
CV_040,JD_001,NO_APTO,28,M,23-35,sintetico_original
CV_050,JD_001,NO_APTO,18,M,36-45,sintetico_original
CV_058,JD_001,NO_APTO,55,M,23-35,sintetico_original
CV_042,JD_001,NO_APTO,26,M,46-58,sintetico_original
CV_034,JD_001,NO_APTO,24,M,23-35,sintetico_original
CV_089,JD_002,APTO,72,F,36-45,sintetico_original
CV_081,JD_002,APTO,48,F,46-58,sintetico_original
CV_075,JD_002,APTO,56,F,46-58,sintetico_original
CV_073,JD_002,APTO,75,F,23-35,sintetico_original
CV_085,JD_002,APTO,68,F,23-35,sintetico_original
CV_069,JD_002,APTO,80,F,46-58,sintetico_original
CV_087,JD_002,APTO,86,F,46-58,sintetico_original
CV_061,JD_002,APTO,95,F,23-35,sintetico_original
