modelo,config,umbral,f1_macro
claude,c1,0,0.3333
claude,c1,1,0.348
claude,c1,2,0.348
claude,c1,3,0.348
claude,c1,4,0.348
claude,c1,5,0.348
claude,c1,6,0.3623
claude,c1,7,0.3623
claude,c1,8,0.3623
claude,c1,9,0.3623
claude,c1,10,0.3623
claude,c1,11,0.3623
claude,c1,12,0.39
claude,c1,13,0.39
claude,c1,14,0.4254
claude,c1,15,0.4854
claude,c1,16,0.4968
claude,c1,17,0.5189
claude,c1,18,0.5297
claude,c1,19,0.5352
claude,c1,20,0.5302
claude,c1,21,0.5692
claude,c1,22,0.5692
claude,c1,23,0.5769
claude,c1,24,0.5714
claude,c1,25,0.5837
claude,c1,26,0.5837
claude,c1,27,0.5981
claude,c1,28,0.6007
claude,c1,29,0.6052
claude,c1,30,0.6132
claude,c1,31,0.6305
claude,c1,32,0.6185
claude,c1,33,0.626
claude,c1,34,0.6286
claude,c1,35,0.6511
claude,c1,36,0.6588
claude,c1,37,0.6732
claude,c1,38,0.6732
claude,c1,39,0.6667
claude,c1,40,0.6666
claude,c1,41,0.6732
claude,c1,42,0.6732
claude,c1,43,0.673
claude,c1,44,0.6726
claude,c1,45,0.6722
claude,c1,46,0.6786
claude,c1,47,0.6906
claude,c1,48,0.697
claude,c1,49,0.6826
claude,c1,50,0.6753
claude,c1,51,0.6606
claude,c1,52,0.6606
claude,c1,53,0.673
claude,c1,54,0.6655
claude,c1,55,0.6655
claude,c1,56,0.6579
claude,c1,57,0.6579
claude,c1,58,0.6503
claude,c1,59,0.6486
claude,c1,60,0.6408
claude,c1,61,0.625
claude,c1,62,0.625
claude,c1,63,0.6147
claude,c1,64,0.5897
claude,c1,65,0.6005
claude,c1,66,0.5915
claude,c1,67,0.5786
claude,c1,68,0.5786
claude,c1,69,0.5746
claude,c1,70,0.565
claude,c1,71,0.5251
claude,c1,72,0.5251
claude,c1,73,0.4808
claude,c1,74,0.4577
claude,c1,75,0.4165
claude,c1,76,0.4034
claude,c1,77,0.3623
claude,c1,78,0.3623
claude,c1,79,0.3333
claude,c1,80,0.3333
claude,c1,81,0.3333
claude,c1,82,0.3333
claude,c1,83,0.3333
claude,c1,84,0.3333
claude,c1,85,0.3333
claude,c1,86,0.3333
claude,c1,87,0.3333
claude,c1,88,0.3333
