grupo_edad,n_grupo,n_referencia,DIR,DIR_IC95_inf,DIR_IC95_sup,SPD,fisher_p,modelo,config
36-45,50,50,0.6364,0.1875,1.4444,-0.08,0.4356,claude,c1
46-58,50,50,0.6364,0.2,1.5,-0.08,0.4356,claude,c1
36-45,50,50,0.7273,0.2663,1.6679,-0.06,0.6111,claude,c2
46-58,50,50,0.8182,0.3333,2.0,-0.04,0.8031,claude,c2
36-45,50,50,0.6364,0.2143,1.5014,-0.08,0.4356,claude,c3
46-58,50,50,0.8182,0.3529,1.8,-0.04,0.8031,claude,c3
36-45,47,44,1.0699,0.5911,1.9771,0.0222,1.0,gemini,c1
46-58,45,44,0.9079,0.4883,1.7383,-0.0293,0.8202,gemini,c1
36-45,37,33,0.9662,0.4955,1.9324,-0.0123,1.0,gemini,c2
46-58,34,33,0.6471,0.2551,1.3346,-0.1283,0.2938,gemini,c2
36-45,37,35,0.7432,0.3784,1.3664,-0.1027,0.4592,gemini,c3
46-58,37,35,0.8108,0.3982,1.5766,-0.0757,0.6247,gemini,c3
